mesure,indicateur,id_indicateur,code_region,libelle_region,valeur_actuelle,date_valeur_actuelle,valeur_initiale,date_valeur_initiale,progression,pourcentage_progression,progression_derniere_maj,pourcentage_progression_derniere_maj,progression_derniere_maj_date,cible,pourcentage_cible,date_cible,unite
Assurer une bonne couverture en internet fixe et en téléphonie mobile pour tous les Français d'ici 2022,Taux de déploiement de la fibre,taux-deploiement-fibre,44,Grand Est,70.0,2021-09-30,21.0,2017-12-31,49.0,233.0,52.0,35.0,2020-09-30,,,,% de déploiement
Déployer une offre France Services dans tous les territoires ,Nombre de labellisations (atteinte de l'objectif fixé),nb-labellisations-france-services,44,Grand Est,182.0,2022-03-31,38.0,2020-01-31,144.0,379.0,76.0,139.0,2020-09-30,242.0,71.0,2022-12-31,labellisations
Déployer le Pass culture,Nombre d’utilisateurs du Pass culture,nb-utilisateurs-pass-culture,44,Grand Est,70729.0,2021-11-30,0.0,2019-01-31,70729.0,,13773.0,414.0,2020-10-31,125311.0,56.0,2022-12-31,utilisateurs
Accompagner les aidants,Nombre de bénéficiaires d'un congé de proche aidant indemnisé,nb-beneficiaires-ajpa,44,Grand Est,372.0,2021-12-31,0.0,2020-09-30,372.0,,,,,4120.0,9.0,2022-12-31,bénéficiaires
Plan de soutien aux petites lignes ferroviaires,Nombre de kilomètres de lignes rénovées,nb-km-lignes-regenerees,44,Grand Est,138.0,2021-11-30,0.0,2017-01-31,138.0,,,,,192.0,72.0,2022-12-31,kilomètres
Redynamiser les cœurs de ville,Nombre de logements rénovés dans les petites villes (- de 20 000 habitants),nb-logements-renoves-petites-villes,44,Grand Est,1246.0,2021-11-30,0.0,2020-09-30,1246.0,,,,,,,,logements rénovés
Redynamiser les cœurs de ville,Nombre de logements ayant bénéficié d'un accompagnement (réhabilitation ou subvention),nb-logement-accompagnement,44,Grand Est,6795.0,2021-12-31,0.0,2019-12-31,6795.0,,4416.0,54.0,2021-03-31,,,,logements
Redynamiser les cœurs de ville,Nombre de logements rénovés dans les villes moyennes (+ de 20 000 habitants),nb-logement-accompagnement,44,Grand Est,6795.0,2021-12-31,0.0,2019-12-31,6795.0,,4416.0,54.0,2021-03-31,,,,logements rénovés
Renforcer les compétences de la nation - plan d'investissement dans les compétences,"Nombre d’entrées en formation pour les publics éloignés de l’emploi (jeunes, demandeurs d’emploi faiblement qualifiés, actifs en insertion, …)",nb-formation-pic,44,Grand Est,115959.0,2021-12-31,69800.0,2017-12-31,46159.0,66.0,,,,101900.0,100.0,2022-12-31,formations
Apprendre à nager et à circuler à vélo en toute sécurité,Nombre d'enfants ayant suivi un cycle d’Aisance Aquatique,nb-cycle-aisance-aquatique,44,Grand Est,1100.0,2021-10-31,0.0,2019-03-31,1100.0,,886.0,24.0,2020-12-31,7413.0,15.0,2022-12-31,enfants
Apprendre à nager et à circuler à vélo en toute sécurité,Nombre d’attestations « savoir rouler à vélo » délivrées,nb-attestations-savoir-rouler-velo,44,Grand Est,4821.0,2021-09-30,0.0,2019-03-31,4821.0,,3658.0,32.0,2021-06-30,15495.0,31.0,2022-12-31,attestations
Garantir l'égalité professionnelle entre les femmes et les hommes,Part des entreprises respectant leur obligation de publier l’index égalité professionnelle,tx-entreprise-egalite-pro,44,Grand Est,94.0,2021-12-31,52.0,2019-03-31,42.0,81.0,,,,90.0,100.0,2022-12-31,%
Offrir une scolarisation inclusive à tous les enfants handicapés,"Nombre d’unités locales d’inclusion scolaires (ULIS) pour les élèves en situation de handicap à l’école maternelle, à l’école élémentaire, au collège et au lycée",nombre-creation-ulis,76,Occitanie,886.0,2021-09-30,700.0,2017-09-30,186.0,27.0,836.0,6.0,2020-09-30,906.0,90.0,2022-09-30,unités
Offrir une scolarisation inclusive à tous les enfants handicapés,Nombre de classes adaptées à la scolarisation des enfants autistes (UEMA/UEEA) à l’école maternelle et à l’école élémentaire,nombre-creation-ueea,76,Occitanie,30.0,2021-09-30,13.0,2017-09-30,17.0,131.0,23.0,30.0,2020-09-30,38.0,68.0,2022-09-30,classes
Promouvoir l'engagement chez les jeunes,Nombre de volontaires ayant réalisé au moins un jour de mission de service civique dans l'année,nb-jeunes-engages,76,Occitanie,12931.0,2021-12-31,11737.0,2017-12-31,1194.0,10.0,12072.0,7.0,2020-12-31,18283.0,18.0,2021-12-31,jeunes
Aide de France Relance aux entreprises,Nombre d’entreprises industrielles (dont PME) bénéficiaires des aides à l'investissement de France Relance,nb-entreprises-industrielles-agricoles,76,Occitanie,627.0,2021-11-30,0.0,2020-10-31,627.0,,,,,,,,entreprises industrielles
Numérisation des petites et moyennes entreprises,Nombre d'entreprises ayant bénéficié d'un chèque numérique de 500€,nb-entreprises-cheaque-numerique,76,Occitanie,14243.0,2021-12-31,0.0,2020-09-30,14243.0,,3438.0,314.0,2021-04-30,10338.0,100.0,2022-12-31,entreprises
Numérisation des petites et moyennes entreprises,Nombre d'entreprises ayant disposé d'un diagnostic numérique et d'un plan d'action individualisé,nb-diagnostics-individualises,76,Occitanie,2610.0,2021-12-31,0.0,2020-09-30,2610.0,,1284.0,103.0,2021-04-30,2853.0,91.0,2022-12-31,entreprises
Développer l’apprentissage,Nombre de contrats d’apprentissage,nombre-contrats-apprentissage,76,Occitanie,50517.0,2021-09-30,24420.0,2017-12-31,26097.0,107.0,45642.0,11.0,2020-12-31,44563.0,100.0,2022-12-31,contrats
Plan 1 jeune 1 solution,Nombre de recrutements de jeunes,nombre-recrutements-jeunes,76,Occitanie,188667.0,2021-07-31,174115.0,2019-07-31,14552.0,8.0,164755.0,15.0,2020-07-31,,,,Recrutements de jeunes
Pacte d'ambition pour l'insertion par l'activité économique,Nombre de bénéficiaires en structures d'insertion par l'activité économique,nb-beneficiaires-siae,76,Occitanie,10744.0,2021-09-30,8369.0,2017-01-31,2375.0,28.0,8901.0,21.0,2021-02-28,14912.0,36.0,2022-12-31,bénéficiaires *
Supprimer la taxe d’habitation sur les résidences principales,Nombre de bénéficiaires totalement exonérés,nb-beneficiaires-suppression-taxe-habitation,76,Occitanie,2199876.0,2021-12-31,0.0,2017-12-31,2199876.0,,,,,2761541.0,80.0,2023-12-31,bénéficiaires
Déployer le plan vélo,Kilomètres d'aménagements cyclables sécurisés,km-amenagement-cyclables-securises,76,Occitanie,5211.0,2021-09-30,3826.0,2017-12-31,1385.0,36.0,4814.0,8.0,2020-09-30,5378.0,89.0,2022-03-31,kilomètres
Instaurer des zones à faibles émissions,Nombre d'habitants vivant à l'intérieur d'une zone à faibles émissions,nb-habitants-zfe,76,Occitanie,0.0,2021-12-31,0.0,2017-12-31,0.0,,,,,707740.0,0.0,2022-12-31,habitants
Verdir le parc automobile,Nombre de primes à la conversion et de bonus écologiques,nb-primes-conversion,76,Occitanie,150553.0,2021-12-31,0.0,2018-01-31,150553.0,,100318.0,50.0,2020-09-30,133170.0,100.0,2022-06-30,primes et bonus
Verdir le parc automobile,Nombre de bornes de recharge pour véhicules électriques déployées,nb-points-recharge,76,Occitanie,4905.0,2021-11-30,3374.0,2019-09-30,1531.0,45.0,,,,8878.0,28.0,2022-03-31,bornes de recharge
Mettre en œuvre la sortie du plastique à usage unique et lutter contre le gaspillage,Nombre de Français qui peuvent mettre tous les emballages dans le bac jaune,nb-francais-emballages-bac-jaune,76,Occitanie,3060000.0,2021-06-30,1560000.0,2017-06-30,1500000.0,96.0,2810000.0,9.0,2020-06-30,5790000.0,35.0,2022-12-31,habitants
Réduire l'utilisation des produits phytosanitaires et accélérer la transition écologique,Surface agricole cultivée en agriculture biologique,surface-agriculture-biologique,76,Occitanie,17.7,2020-12-31,12.8,2017-12-31,5.0,38.0,16.0,11.0,2019-12-31,15.0,100.0,2022-12-31,% de surface agricole
Réduire l'utilisation des produits phytosanitaires et accélérer la transition écologique,Nombre d’agriculteurs engagés dans une démarche certifiée de transition agro-écologique,nb-agriculteurs-agro-eco,76,Occitanie,14886.0,2020-12-31,8270.0,2017-12-31,6616.0,80.0,,,,17493.0,72.0,2022-12-31,agriculteurs
Sécuriser le paiement des aides PAC,Taux de bénéficiaires payés dans les délais prévus,taux-paiement-dpb,76,Occitanie,99.66,2021-12-31,0.0,2017-12-31,100.0,,,,,99.0,100.0,2022-12-31,%
Renforcer la sécurité du quotidien,Nombre d’heures de patrouille de voie publique,nb-heures-patrouille,76,Occitanie,6521633.0,2021-10-31,6114011.0,2017-12-31,407622.0,7.0,,,,,,,heures de patrouille sur douze mois *
Renforcer la sécurité du quotidien,Atteintes aux personnes dans les transports en commun,nb-atteintes-personnes,76,Occitanie,1418.0,2021-11-30,1356.0,2017-11-30,62.0,5.0,,,,,,,atteintes aux personnes entre janvier et novembre
Renforcer la sécurité du quotidien,Atteintes aux biens dans les transports en commun,nb-atteintes-biens,76,Occitanie,5539.0,2021-11-30,6730.0,2017-11-30,-1191.0,-18.0,,,,,,,atteintes aux biens entre janvier et novembre
Lutter contre les stupéfiants,Nombre d'amendes forfaitaires délictuelles dressées,nb-amendes-delictuelles-dressees,76,Occitanie,7129.0,2021-11-30,0.0,2020-05-31,7129.0,,1815.0,293.0,2021-03-31,,,,amendes dressées
Lutter contre les violences faites aux femmes,Nombre d’ordonnances de protection délivrées,nb-ordonnances-delivrees,76,Occitanie,284.0,2020-12-31,146.0,2017-12-31,138.0,95.0,,,,,,,ordonnances dans l'année
Lutter contre les atteintes aux principes républicains,Nombre de contrôles réalisés dans le cadre des CLIR ou des dispositifs existant localement avant la mise en place progressive des CLIR,nb-controles-clir,76,Occitanie,119.0,2020-12-31,52.0,2018-12-31,67.0,129.0,,,,,,,contrôles
Réduire la mortalité sur les routes,Nombre de morts sur les routes,nb-morts-routes,76,Occitanie,286.0,2020-12-31,392.0,2017-12-31,-106.0,-27.0,390.0,-27.0,2019-12-31,,,,morts
Lutter contre la récidive par une meilleure insertion professionnelle des condamnés,Taux de personnes détenues ayant bénéficié d'une formation dans l'année,tx-detenus-formation,76,Occitanie,6.0,2021-09-30,6.0,2021-06-30,0.0,0.0,,,,,,,% de détenus
Lutter contre la récidive par une meilleure insertion professionnelle des condamnés,Postes de travail d’intérêt général proposés sur l’ensemble du territoire national en tant que peine,nb-postes-tig,76,Occitanie,2077.0,2021-11-30,1870.0,2021-03-31,207.0,11.0,,,,,,,postes
Lutter contre les impayés de pensions alimentaires,Nombre de familles bénéficiaires d'une pension alimentaire versée par l'intermédiaire du service public des pensions alimentaires,nb-familles-aripa,76,Occitanie,5947.0,2021-12-31,0.0,2020-09-30,5947.0,,772.0,670.0,2021-03-31,21360.0,28.0,2022-12-31,familles
"Proposer une offre de lunettes, appareils auditifs et prothèses dentaires remboursée à 100%",Part des équipements vendus sans reste à charge dans le total des soins audio,tx-equipements-audio,76,Occitanie,41.0,2021-09-30,0.0,2018-12-31,41.0,,13.88,195.0,2020-09-30,40.0,100.0,2022-12-31,%
"Proposer une offre de lunettes, appareils auditifs et prothèses dentaires remboursée à 100%",Part des équipements vendus sans reste à charge dans le total des soins dentaires,tx-equipements-dentaire,76,Occitanie,62.98,2021-09-30,0.0,2019-03-31,63.0,,61.58,2.0,2020-09-30,45.0,100.0,2022-12-31,%
"Proposer une offre de lunettes, appareils auditifs et prothèses dentaires remboursée à 100%",Part des équipements vendus sans reste à charge dans le total des soins optiques,tx-equipements-optique,76,Occitanie,19.89,2021-09-30,0.0,2019-12-31,20.0,,18.76,6.0,2020-09-30,20.0,99.0,2022-12-31,%
Doubler le nombre de maisons de santé et de centres de santé dans les territoires,Nombre de maisons de santé pluri-professionnelles,nb-maisons-sante,76,Occitanie,226.0,2021-06-30,99.0,2017-06-30,127.0,128.0,181.0,25.0,2020-06-30,214.0,100.0,2022-12-31,maisons de santé
Doubler le nombre de maisons de santé et de centres de santé dans les territoires,Nombre de centres de santé,nb-centres-sante,76,Occitanie,27.0,2021-06-30,16.0,2017-12-31,11.0,69.0,,,,53.0,30.0,2022-12-31,centres de santé
Allonger le congé paternité pour un meilleur développement de l’enfant,Nombre de pères / conjoints prenant un congé de paternité,nb-peres-conge-paternite,76,Occitanie,23519.0,2020-12-31,23456.0,2018-12-31,63.0,0.0,17400.0,35.0,2020-09-30,27571.0,2.0,2022-12-31,pères / conjoints dans l'année
MaPrimeRénov',Nombre de dossiers MaPrimeRénov' validés,nb-maprimerenov-valides,76,Occitanie,68980.0,2021-11-30,0.0,2019-12-31,68980.0,,25105.0,175.0,2021-03-31,69946.0,99.0,2022-12-31,dossiers validés
Faciliter l’accès au logement des personnes sans-abri,Nombre de personnes sans-abri ou en hébergement ayant obtenu un logement social,logement-sans-domicile-hebergement-urgence,76,Occitanie,4136.0,2020-12-31,3384.0,2017-12-31,752.0,22.0,4173.0,-1.0,2019-12-31,4455.0,70.0,2022-12-31,personnes dans l'année*
Assurer une bonne couverture en internet fixe et en téléphonie mobile pour tous les Français d'ici 2022,Taux de déploiement de la fibre,taux-deploiement-fibre,76,Occitanie,64.0,2021-09-30,19.0,2017-12-31,45.0,237.0,44.0,45.0,2020-09-30,,,,% de déploiement
Déployer une offre France Services dans tous les territoires ,Nombre de labellisations (atteinte de l'objectif fixé),nb-labellisations-france-services,76,Occitanie,263.0,2022-03-31,71.0,2020-01-31,192.0,270.0,129.0,104.0,2020-09-30,312.0,80.0,2022-12-31,labellisations
Déployer le Pass culture,Nombre d’utilisateurs du Pass culture,nb-utilisateurs-pass-culture,76,Occitanie,73094.0,2021-11-30,0.0,2019-01-31,73094.0,,12385.0,490.0,2020-10-31,133466.0,55.0,2022-12-31,utilisateurs
Accompagner les aidants,Nombre de bénéficiaires d'un congé de proche aidant indemnisé,nb-beneficiaires-ajpa,76,Occitanie,824.0,2021-12-31,0.0,2020-09-30,824.0,,,,,5190.0,16.0,2022-12-31,bénéficiaires
Plan de soutien aux petites lignes ferroviaires,Nombre de kilomètres de lignes rénovées,nb-km-lignes-regenerees,76,Occitanie,89.0,2021-11-30,0.0,2017-01-31,89.0,,,,,145.0,61.0,2022-12-31,kilomètres
Redynamiser les cœurs de ville,Nombre de logements rénovés dans les petites villes (- de 20 000 habitants),nb-logements-renoves-petites-villes,76,Occitanie,2338.0,2021-11-30,0.0,2020-09-30,2338.0,,,,,,,,logements rénovés
Redynamiser les cœurs de ville,Nombre de logements ayant bénéficié d'un accompagnement (réhabilitation ou subvention),nb-logement-accompagnement,76,Occitanie,8918.0,2021-12-31,0.0,2019-12-31,8918.0,,6451.0,38.0,2021-03-31,,,,logements
Redynamiser les cœurs de ville,Nombre de logements rénovés dans les villes moyennes (+ de 20 000 habitants),nb-logement-accompagnement,76,Occitanie,8918.0,2021-12-31,0.0,2019-12-31,8918.0,,6451.0,38.0,2021-03-31,,,,logements rénovés
Renforcer les compétences de la nation - plan d'investissement dans les compétences,"Nombre d’entrées en formation pour les publics éloignés de l’emploi (jeunes, demandeurs d’emploi faiblement qualifiés, actifs en insertion, …)",nb-formation-pic,76,Occitanie,151699.0,2021-12-31,92300.0,2017-12-31,59399.0,64.0,,,,116400.0,100.0,2022-12-31,formations
Apprendre à nager et à circuler à vélo en toute sécurité,Nombre d'enfants ayant suivi un cycle d’Aisance Aquatique,nb-cycle-aisance-aquatique,76,Occitanie,1612.0,2021-10-31,0.0,2019-03-31,1612.0,,1159.0,39.0,2020-12-31,8811.0,18.0,2022-12-31,enfants
Apprendre à nager et à circuler à vélo en toute sécurité,Nombre d’attestations « savoir rouler à vélo » délivrées,nb-attestations-savoir-rouler-velo,76,Occitanie,5676.0,2021-09-30,0.0,2019-03-31,5676.0,,3602.0,58.0,2021-06-30,16508.0,34.0,2022-12-31,attestations
Garantir l'égalité professionnelle entre les femmes et les hommes,Part des entreprises respectant leur obligation de publier l’index égalité professionnelle,tx-entreprise-egalite-pro,76,Occitanie,79.0,2021-12-31,40.0,2019-03-31,39.0,98.0,,,,90.0,78.0,2022-12-31,%
Offrir une scolarisation inclusive à tous les enfants handicapés,"Nombre d’unités locales d’inclusion scolaires (ULIS) pour les élèves en situation de handicap à l’école maternelle, à l’école élémentaire, au collège et au lycée",nombre-creation-ulis,28,Normandie,488.0,2021-09-30,395.0,2017-09-30,93.0,24.0,456.0,7.0,2020-09-30,487.0,100.0,2022-09-30,unités
Offrir une scolarisation inclusive à tous les enfants handicapés,Nombre de classes adaptées à la scolarisation des enfants autistes (UEMA/UEEA) à l’école maternelle et à l’école élémentaire,nombre-creation-ueea,28,Normandie,18.0,2021-09-30,7.0,2017-09-30,11.0,157.0,13.0,38.0,2020-09-30,18.0,100.0,2022-09-30,classes
Promouvoir l'engagement chez les jeunes,Nombre de volontaires ayant réalisé au moins un jour de mission de service civique dans l'année,nb-jeunes-engages,28,Normandie,6794.0,2021-12-31,5396.0,2017-12-31,1398.0,26.0,6327.0,7.0,2020-12-31,9498.0,34.0,2021-12-31,jeunes
Aide de France Relance aux entreprises,Nombre d’entreprises industrielles (dont PME) bénéficiaires des aides à l'investissement de France Relance,nb-entreprises-industrielles-agricoles,28,Normandie,613.0,2021-11-30,0.0,2020-10-31,613.0,,,,,,,,entreprises industrielles
Numérisation des petites et moyennes entreprises,Nombre d'entreprises ayant bénéficié d'un chèque numérique de 500€,nb-entreprises-cheaque-numerique,28,Normandie,3540.0,2021-12-31,0.0,2020-09-30,3540.0,,1008.0,251.0,2021-04-30,4054.0,87.0,2022-12-31,entreprises
Numérisation des petites et moyennes entreprises,Nombre d'entreprises ayant disposé d'un diagnostic numérique et d'un plan d'action individualisé,nb-diagnostics-individualises,28,Normandie,1294.0,2021-12-31,0.0,2020-09-30,1294.0,,630.0,105.0,2021-04-30,1440.0,90.0,2022-12-31,entreprises
Développer l’apprentissage,Nombre de contrats d’apprentissage,nombre-contrats-apprentissage,28,Normandie,29560.0,2021-09-30,16259.0,2017-12-31,13301.0,82.0,26465.0,12.0,2020-12-31,26462.0,100.0,2022-12-31,contrats
Plan 1 jeune 1 solution,Nombre de recrutements de jeunes,nombre-recrutements-jeunes,28,Normandie,91635.0,2021-07-31,87144.0,2019-07-31,4491.0,5.0,79897.0,15.0,2020-07-31,,,,Recrutements de jeunes
Pacte d'ambition pour l'insertion par l'activité économique,Nombre de bénéficiaires en structures d'insertion par l'activité économique,nb-beneficiaires-siae,28,Normandie,9662.0,2021-09-30,8173.0,2017-01-31,1489.0,18.0,8039.0,20.0,2021-02-28,14604.0,23.0,2022-12-31,bénéficiaires *
Supprimer la taxe d’habitation sur les résidences principales,Nombre de bénéficiaires totalement exonérés,nb-beneficiaires-suppression-taxe-habitation,28,Normandie,1211967.0,2021-12-31,0.0,2017-12-31,1211967.0,,,,,1497322.0,81.0,2023-12-31,bénéficiaires
Déployer le plan vélo,Kilomètres d'aménagements cyclables sécurisés,km-amenagement-cyclables-securises,28,Normandie,3267.0,2021-09-30,2579.0,2017-12-31,688.0,27.0,3063.0,7.0,2020-09-30,3405.0,83.0,2022-03-31,kilomètres
Instaurer des zones à faibles émissions,Nombre d'habitants vivant à l'intérieur d'une zone à faibles émissions,nb-habitants-zfe,28,Normandie,33467.0,2021-12-31,0.0,2017-12-31,33467.0,,,,,228894.0,15.0,2022-12-31,habitants
Verdir le parc automobile,Nombre de primes à la conversion et de bonus écologiques,nb-primes-conversion,28,Normandie,75623.0,2021-12-31,0.0,2018-01-31,75623.0,,52661.0,44.0,2020-09-30,73553.0,100.0,2022-06-30,primes et bonus
Verdir le parc automobile,Nombre de bornes de recharge pour véhicules électriques déployées,nb-points-recharge,28,Normandie,2666.0,2021-11-30,2166.0,2019-09-30,500.0,23.0,,,,4904.0,18.0,2022-03-31,bornes de recharge
Mettre en œuvre la sortie du plastique à usage unique et lutter contre le gaspillage,Nombre de Français qui peuvent mettre tous les emballages dans le bac jaune,nb-francais-emballages-bac-jaune,28,Normandie,2300000.0,2021-06-30,1310000.0,2017-06-30,990000.0,76.0,1780000.0,29.0,2020-06-30,3340000.0,49.0,2022-12-31,habitants
Réduire l'utilisation des produits phytosanitaires et accélérer la transition écologique,Surface agricole cultivée en agriculture biologique,surface-agriculture-biologique,28,Normandie,6.3,2020-12-31,4.3,2017-12-31,2.0,47.0,5.3,19.0,2019-12-31,15.0,19.0,2022-12-31,% de surface agricole
Réduire l'utilisation des produits phytosanitaires et accélérer la transition écologique,Nombre d’agriculteurs engagés dans une démarche certifiée de transition agro-écologique,nb-agriculteurs-agro-eco,28,Normandie,2211.0,2020-12-31,1604.0,2017-12-31,607.0,38.0,,,,3063.0,42.0,2022-12-31,agriculteurs
Sécuriser le paiement des aides PAC,Taux de bénéficiaires payés dans les délais prévus,taux-paiement-dpb,28,Normandie,99.64,2021-12-31,0.0,2017-12-31,100.0,,,,,99.0,100.0,2022-12-31,%
Renforcer la sécurité du quotidien,Nombre d’heures de patrouille de voie publique,nb-heures-patrouille,28,Normandie,3464653.0,2021-10-31,3135245.0,2017-12-31,329408.0,11.0,,,,,,,heures de patrouille sur douze mois *
Renforcer la sécurité du quotidien,Atteintes aux personnes dans les transports en commun,nb-atteintes-personnes,28,Normandie,459.0,2021-11-30,495.0,2017-11-30,-36.0,-7.0,,,,,,,atteintes aux personnes entre janvier et novembre
Renforcer la sécurité du quotidien,Atteintes aux biens dans les transports en commun,nb-atteintes-biens,28,Normandie,1427.0,2021-11-30,1606.0,2017-11-30,-179.0,-11.0,,,,,,,atteintes aux biens entre janvier et novembre
Lutter contre les stupéfiants,Nombre d'amendes forfaitaires délictuelles dressées,nb-amendes-delictuelles-dressees,28,Normandie,4207.0,2021-11-30,0.0,2020-05-31,4207.0,,865.0,386.0,2021-03-31,,,,amendes dressées
Lutter contre les violences faites aux femmes,Nombre d’ordonnances de protection délivrées,nb-ordonnances-delivrees,28,Normandie,217.0,2020-12-31,72.0,2017-12-31,145.0,201.0,,,,,,,ordonnances dans l'année
Lutter contre les atteintes aux principes républicains,Nombre de contrôles réalisés dans le cadre des CLIR ou des dispositifs existant localement avant la mise en place progressive des CLIR,nb-controles-clir,28,Normandie,5.0,2020-12-31,,,,,,,,,,,contrôles
Réduire la mortalité sur les routes,Nombre de morts sur les routes,nb-morts-routes,28,Normandie,145.0,2020-12-31,191.0,2017-12-31,-46.0,-24.0,173.0,-16.0,2019-12-31,,,,morts
Lutter contre la récidive par une meilleure insertion professionnelle des condamnés,Taux de personnes détenues ayant bénéficié d'une formation dans l'année,tx-detenus-formation,28,Normandie,4.0,2021-09-30,4.0,2021-06-30,0.0,0.0,,,,,,,% de détenus
Lutter contre la récidive par une meilleure insertion professionnelle des condamnés,Postes de travail d’intérêt général proposés sur l’ensemble du territoire national en tant que peine,nb-postes-tig,28,Normandie,1303.0,2021-11-30,1289.0,2021-03-31,14.0,1.0,,,,,,,postes
Lutter contre les impayés de pensions alimentaires,Nombre de familles bénéficiaires d'une pension alimentaire versée par l'intermédiaire du service public des pensions alimentaires,nb-familles-aripa,28,Normandie,2005.0,2021-12-31,0.0,2020-09-30,2005.0,,398.0,404.0,2021-03-31,11011.0,18.0,2022-12-31,familles
"Proposer une offre de lunettes, appareils auditifs et prothèses dentaires remboursée à 100%",Part des équipements vendus sans reste à charge dans le total des soins audio,tx-equipements-audio,28,Normandie,35.72,2021-09-30,0.0,2018-12-31,36.0,,12.25,192.0,2020-09-30,40.0,89.0,2022-12-31,%
"Proposer une offre de lunettes, appareils auditifs et prothèses dentaires remboursée à 100%",Part des équipements vendus sans reste à charge dans le total des soins dentaires,tx-equipements-dentaire,28,Normandie,59.09,2021-09-30,0.0,2019-03-31,59.0,,57.2,3.0,2020-09-30,45.0,100.0,2022-12-31,%
"Proposer une offre de lunettes, appareils auditifs et prothèses dentaires remboursée à 100%",Part des équipements vendus sans reste à charge dans le total des soins optiques,tx-equipements-optique,28,Normandie,16.64,2021-09-30,0.0,2019-12-31,17.0,,15.27,9.0,2020-09-30,20.0,83.0,2022-12-31,%
Doubler le nombre de maisons de santé et de centres de santé dans les territoires,Nombre de maisons de santé pluri-professionnelles,nb-maisons-sante,28,Normandie,101.0,2021-06-30,53.0,2017-06-30,48.0,91.0,86.0,17.0,2020-06-30,103.0,96.0,2022-12-31,maisons de santé
Doubler le nombre de maisons de santé et de centres de santé dans les territoires,Nombre de centres de santé,nb-centres-sante,28,Normandie,15.0,2021-06-30,5.0,2017-12-31,10.0,200.0,,,,29.0,42.0,2022-12-31,centres de santé
Allonger le congé paternité pour un meilleur développement de l’enfant,Nombre de pères / conjoints prenant un congé de paternité,nb-peres-conge-paternite,28,Normandie,15110.0,2020-12-31,15821.0,2018-12-31,-711.0,-4.0,11291.0,34.0,2020-09-30,18326.0,0.0,2022-12-31,pères / conjoints dans l'année
MaPrimeRénov',Nombre de dossiers MaPrimeRénov' validés,nb-maprimerenov-valides,28,Normandie,45206.0,2021-11-30,0.0,2019-12-31,45206.0,,15692.0,188.0,2021-03-31,67377.0,67.0,2022-12-31,dossiers validés
Faciliter l’accès au logement des personnes sans-abri,Nombre de personnes sans-abri ou en hébergement ayant obtenu un logement social,logement-sans-domicile-hebergement-urgence,28,Normandie,2255.0,2020-12-31,1918.0,2017-12-31,337.0,18.0,2202.0,2.0,2019-12-31,2739.0,41.0,2022-12-31,personnes dans l'année*
Assurer une bonne couverture en internet fixe et en téléphonie mobile pour tous les Français d'ici 2022,Taux de déploiement de la fibre,taux-deploiement-fibre,28,Normandie,59.0,2021-09-30,20.0,2017-12-31,39.0,195.0,44.0,34.0,2020-09-30,,,,% de déploiement
Déployer une offre France Services dans tous les territoires ,Nombre de labellisations (atteinte de l'objectif fixé),nb-labellisations-france-services,28,Normandie,138.0,2022-03-31,43.0,2020-01-31,95.0,221.0,59.0,134.0,2020-09-30,164.0,79.0,2022-12-31,labellisations
Déployer le Pass culture,Nombre d’utilisateurs du Pass culture,nb-utilisateurs-pass-culture,28,Normandie,35057.0,2021-11-30,0.0,2019-01-31,35057.0,,5.0,701040.0,2020-10-31,77094.0,45.0,2022-12-31,utilisateurs
Accompagner les aidants,Nombre de bénéficiaires d'un congé de proche aidant indemnisé,nb-beneficiaires-ajpa,28,Normandie,267.0,2021-12-31,0.0,2020-09-30,267.0,,,,,2635.0,10.0,2022-12-31,bénéficiaires
Plan de soutien aux petites lignes ferroviaires,Nombre de kilomètres de lignes rénovées,nb-km-lignes-regenerees,28,Normandie,30.0,2021-11-30,0.0,2017-01-31,30.0,,,,,42.0,71.0,2022-12-31,kilomètres
Redynamiser les cœurs de ville,Nombre de logements rénovés dans les petites villes (- de 20 000 habitants),nb-logements-renoves-petites-villes,28,Normandie,1281.0,2021-11-30,0.0,2020-09-30,1281.0,,,,,,,,logements rénovés
Redynamiser les cœurs de ville,Nombre de logements ayant bénéficié d'un accompagnement (réhabilitation ou subvention),nb-logement-accompagnement,28,Normandie,4076.0,2021-12-31,0.0,2019-12-31,4076.0,,2963.0,38.0,2021-03-31,,,,logements
Redynamiser les cœurs de ville,Nombre de logements rénovés dans les villes moyennes (+ de 20 000 habitants),nb-logement-accompagnement,28,Normandie,4076.0,2021-12-31,0.0,2019-12-31,4076.0,,2963.0,38.0,2021-03-31,,,,logements rénovés
Renforcer les compétences de la nation - plan d'investissement dans les compétences,"Nombre d’entrées en formation pour les publics éloignés de l’emploi (jeunes, demandeurs d’emploi faiblement qualifiés, actifs en insertion, …)",nb-formation-pic,28,Normandie,73839.0,2021-12-31,43300.0,2017-12-31,30539.0,71.0,,,,68100.0,100.0,2022-12-31,formations
Apprendre à nager et à circuler à vélo en toute sécurité,Nombre d'enfants ayant suivi un cycle d’Aisance Aquatique,nb-cycle-aisance-aquatique,28,Normandie,397.0,2021-10-31,0.0,2019-03-31,397.0,,,,,4294.0,9.0,2022-12-31,enfants
